Becks Dark,4,12,beer
Becks Light,3,12,beer
Becks Octoberfest,5,12,beer
Bee Sting Honey Ale,5.9,0,beer
Bee Sting Honey Rye Ale,6.5,0,beer
Beefeater,47,1.5,shot
Beer (Domestic),4,12,beer
Beer (Imported Ales),6,12,beer
Beer (Imported Porters),6,12,beer
Beer (Imported Stouts),6,12,beer
Beer (Imported),6,12,beer
Beer (Lights),4,12,beer
Beer (Malt Liquor),6,12,beer
Beer Esteem,5.6,0,beer
Beer Geek Breakfast,7.5,0,beer
Beewolf Braggot,7,0,beer
Behemoth Barley Wine,10.5,0,beer
Beir o,22,0,mixedDrink
Belgian Abbey Dubbel,7,0,beer
Belgian Burgundy Ale,9,0,beer
Belgian Double,7,0,beer
Belgian Freeze Winter Ale,8,0,beer
Belgian White,4.1,0,beer
Belgian White,4.7,0,beer
Bell's Batch 9000,12.5,0,beer
Bell's Cherry Stout,7,0,beer
Belle Gunness Stout,5,0,beer
Bellegems Bruin,5.5,0,beer
Below Decks,10,0,beer
Belzebuth,13,0,beer
Benchmark Old Ale,9.9,0,beer
Benchwarmer Porter,6.4,0,beer
Bender Beer,5.1,0,beer
Benedictine,40,0,mixedDrink
Bengali Tiger,6.5,0,beer
Berghoff Oktoberfest Beer,5.2,0,beer
Berghoff Original Lager Beer,5.6,0,beer
Berserker Imperial Stout,12.7,0,beer
Best Bitter,5.5,0,beer
Best Bitter,3.4,0,beer
Best Brown Ale,5.8,0,beer
Best Bull,5.9,0,beer
Beyond The Gates Double IPA,7.5,0,beer
Bhagwan's Best IPA,5,0,beer
Biere de Mars,7,0,beer
Big A IPA,9.6,0,beer
Big Bear,7,12,beer
Big Bear Black Stout,8.1,0,beer
Big Black Voodoo Daddy,12,0,beer
Big Boat Oatmeal Stout,6.6,0,beer
Big Buck Beer,5.2,0,beer
Big Butt Doppelbock,5.8,0,beer
Big Daddy IPA,6.5,0,beer
Big Dick's Olde Ale,8.2,0,beer
Big Eye IPA,6,0,beer
Big Hop Harvest Ale,7.4,0,beer
Big Hop IPA,5.8,0,beer
Big Hoppy Monster,8.75,0,beer
Big Mac,5,0,beer
Big Nasty Porter,6.4,0,beer
Big Porch Ale,5.8,0,beer
Big Red Imperial Red Ale,9.5,0,beer
Big Slick American Barleywine Ale,11.9,0,beer
Big Sound Scotch Ale,8.5,0,beer
Big Swell IPA,6.2,0,beer
Bigfoot,9.6,0,beer
Bigfoot 1991,9.6,0,beer
Bigfoot 1994,9.6,0,beer
Bigfoot 1996,9.6,0,beer
Bigfoot 1997,9.6,0,beer
Bigfoot 1998,9.6,0,beer
Bigfoot 1999,9.6,0,beer
Bigfoot 2000,9.6,0,beer
Bigfoot 2001,9.6,0,beer
Bigfoot 2002,9.6,0,beer
Bigfoot 2003,9.6,0,beer
Bigfoot 2004,9.6,0,beer
Bigfoot 2005,9.6,0,beer
Bigfoot 2006,9.6,0,beer
Bikini Blonde Lager,3.8,0,beer
Billtown Blonde,6,0,beer
Bird of Prey IPA,8.26,0,beer
Birell,0.5,0,beer
Birra Moretti La Rossa,7.2,0,beer
Biscotti,7,0,beer
Bishops Finger Kentish Strong Ale,5.4,0,beer
Bison Brown,5,0,beer
Bistro Blonde,4.2,0,beer
Bitter,4,0,beer
Bitter American,3.6,0,beer
Bitter and Twisted,3.8,0,beer
Bitter Woman IPA,5.75,0,beer
Bittersweet Lenny R.I.P.A.,10,0,beer
BJ's Annual Grand Cru,10,0,beer
Black & Blue,10,0,beer
Black Abbot / Schwarzer Abt,3.9,0,beer
Black Albert,13,0,beer
Black and White,40,1.5,shot
Black Bavarian Lager,5.86,0,beer
